first_name,last_name,age,spending_score
Michael,Taylor,58,59
Nancy,Perez,26,43
Joseph,Miller,25,92
David,Martinez,61,66
Linda,Hernandez,57,9
Christopher,Williams,20,6
Michael,Martin,30,65
Charles,Martinez,36,3
Daniel,Martinez,51,74
David,Wilson,49,37
David,Lopez,66,87
Margaret,Anderson,33,33
Christopher,Martinez,53,9
Patricia,Martinez,35,53
Linda,Jackson,31,77
Margaret,Smith,47,92
John,White,19,51
Lisa,Martinez,30,71
Christopher,Johnson,44,26
Mary,Taylor,69,16
Margaret,White,34,40
Susan,Miller,48,90
Jennifer,Miller,32,51
Mary,Martin,37,39
Christopher,Rodriguez,22,55
James,Perez,24,96
Susan,Johnson,35,36
Lisa,Wilson,28,65
Susan,Taylor,49,85
Thomas,Smith,67,77
Elizabeth,Rodriguez,44,90
Sarah,Martin,43,45
Joseph,Lee,54,9
Joseph,Jackson,62,37
Charles,Brown,45,87
Susan,Davis,67,1
Daniel,Gonzalez,19,66
Nancy,Brown,37,63
John,Rodriguez,21,43
Robert,Rodriguez,30,28
Charles,Perez,41,31
Michael,Moore,65,69
Christopher,Lopez,55,89
William,Martinez,57,8
Michael,Hernandez,65,34
Karen,Miller,62,49
Patricia,Rodriguez,46,96
Jessica,Garcia,53,58
Karen,Jackson,19,75
William,Thomas,58,47
Christopher,Anderson,35,25
Mary,Miller,66,3
Nancy,Thomas,25,45
Joseph,Jones,32,52
Michael,Thomas,58,96
Susan,Smith,34,99
Linda,Jackson,40,96
Joseph,Jones,19,34
John,Miller,23,69
Jessica,Jackson,46,92
Thomas,Perez,44,92
Patricia,Jones,54,8
Karen,Taylor,66,27
Linda,Perez,51,80
Patricia,Davis,35,63
Mary,Smith,59,82
Jennifer,Johnson,27,25
Lisa,Anderson,55,58
Elizabeth,Martin,61,48
Patricia,Moore,34,1
Lisa,Hernandez,30,8
Karen,Martinez,69,21
Susan,White,65,98
Mary,White,59,88
Elizabeth,Brown,44,90
Patricia,Jones,19,78
Jessica,Brown,51,29
Sarah,Gonzalez,48,30
Joseph,Gonzalez,40,3
Linda,Moore,24,7
Jessica,White,55,11
Daniel,Johnson,50,32
Linda,Thomas,29,59
Christopher,Smith,62,12
Sarah,Jackson,29,79
Richard,Rodriguez,36,38
Karen,Williams,26,24
Joseph,Miller,27,65
Christopher,Martinez,34,18
Margaret,Smith,67,46
Richard,Martinez,57,56
William,Lee,56,63
Joseph,Rodriguez,58,7
Richard,Anderson,27,66
James,Anderson,29,40
Michael,Williams,32,54
William,Jones,48,31
Margaret,Rodriguez,32,97
James,Perez,45,52
Susan,Rodriguez,21,94
Linda,Thompson,53,31
Margaret,Miller,18,34
David,White,61,7
Charles,Thompson,51,89
Thomas,Lopez,64,16
Linda,Rodriguez,34,22
John,Garcia,56,53
John,Thompson,55,91
James,Johnson,61,17
Robert,Rodriguez,68,4
Elizabeth,Taylor,50,61
Michael,Smith,38,99
William,Jackson,43,86
Michael,Garcia,63,52
William,Jones,53,35
Linda,Johnson,22,44
Susan,Rodriguez,50,15
Mary,Wilson,18,61
James,Brown,23,44
Sarah,Brown,54,21
Daniel,Lee,19,77
Daniel,Anderson,22,47
Margaret,Davis,43,75
Robert,Brown,58,49
John,Thomas,68,53
Susan,Lee,64,27
Linda,Brown,30,31
Lisa,Thomas,29,44
John,Perez,22,32
James,Lopez,19,30
John,Thomas,21,18
Robert,Jackson,44,63
Joseph,Davis,67,16
Jessica,Garcia,27,35
John,Martinez,30,62
James,Jones,61,9
Robert,Moore,19,62
Daniel,Martinez,43,39
Jessica,Martinez,32,51
Michael,Miller,63,10
William,Moore,27,52
Joseph,Smith,39,12
Joseph,Miller,57,72
Elizabeth,Lee,42,62
Richard,Smith,32,3
Charles,Anderson,30,83
Michael,Brown,25,11
Thomas,Martin,38,8
Nancy,Martinez,38,90
Patricia,Thompson,39,23
Robert,Rodriguez,63,10
Daniel,Johnson,50,18
Michael,Wilson,62,76
Richard,Thomas,44,39
Joseph,Smith,57,26
David,Johnson,67,11
Patricia,Miller,39,10
Richard,Martinez,47,3
Michael,Perez,26,62
Charles,Martin,62,71
Lisa,Smith,52,61
Mary,Gonzalez,35,4
Elizabeth,Smith,59,61
Richard,Jones,22,8
Christopher,Thomas,44,13
Jennifer,Anderson,23,12
Susan,Taylor,49,35
Susan,Thompson,25,54
Nancy,Thomas,56,51
David,Gonzalez,38,43
Daniel,Hernandez,35,66
Michael,Taylor,31,15
James,Taylor,32,49
James,Johnson,59,34
Nancy,Gonzalez,43,39
Richard,Wilson,61,26
William,Hernandez,49,69
John,Martinez,56,48
Michael,Williams,45,89
Jennifer,Taylor,56,51
Linda,Anderson,60,98
William,Rodriguez,49,4
Robert,Martinez,30,98
James,Davis,32,27
Charles,Lee,35,42
Elizabeth,Gonzalez,56,56
Susan,Moore,23,93
Margaret,Jones,28,69
Joseph,Garcia,49,18
Lisa,Taylor,57,61
Margaret,Hernandez,37,4
William,Martin,50,1
Nancy,Thomas,57,50
Thomas,Rodriguez,25,84
Thomas,Johnson,68,70
Nancy,Jones,52,20
Susan,Smith,22,20
Michael,Brown,52,46
Mary,Brown,64,27
John,Perez,31,26
Thomas,Williams,38,32
Robert,Rodriguez,64,10
Thomas,Perez,41,82
Margaret,Thompson,34,12
Thomas,Lopez,35,74
Thomas,Martinez,51,88
Mary,Johnson,29,24
Mary,Hernandez,33,51
Lisa,Martinez,21,38
Daniel,Perez,42,46
Robert,Garcia,51,89
James,Moore,45,8
James,Johnson,63,55
Charles,Johnson,28,78
Mary,Martinez,30,31
Christopher,Thomas,48,88
Susan,Lopez,42,16
Jennifer,Smith,56,20
Daniel,Lee,27,38
Patricia,Davis,41,15
Daniel,Thomas,18,78
David,Moore,42,76
Margaret,Gonzalez,45,34
Thomas,Anderson,53,72
Jennifer,Lee,35,19
Margaret,Lopez,23,69
Robert,Davis,19,91
Nancy,Martinez,20,63
Mary,Wilson,63,77
Jennifer,Jones,25,32
Lisa,Moore,48,95
David,Jackson,65,37
Sarah,Anderson,36,66
Sarah,Garcia,67,7
James,Hernandez,23,48
William,Lee,31,11
